datetime,latitude,longitude,check_dates,check_dups,check_speed,x,y,flag_date,flag_duplicate,flag,flag_position_pass_one,flag_position_pass_two
2019-10-08 02:00:26,84.89693,133.28491,False,False,False,-414772.2590770609,-390655.4097697084,False,False,0,0,0
2019-10-08 02:30:26,84.89483,133.33624,False,False,False,-414592.53311458713,-391187.63724808244,False,False,0,0,0
2019-10-08 03:00:25,84.8926,133.38596,False,False,False,-414433.73436791514,-391718.1742860051,False,False,0,0,0
2019-10-08 03:30:26,84.89023,133.43423,False,False,False,-414295.5963019676,-392248.98506431497,False,False,0,0,0
2019-10-08 04:00:54,84.88769,133.48225,False,False,False,-414172.33411951753,-392791.0858432013,False,False,0,0,0
2019-10-08 04:30:27,84.88506,133.52776,False,False,False,-414072.96515796403,-393322.032009544,False,False,0,0,0
2019-10-08 05:00:26,84.88228,133.57253,False,False,False,-413990.225727735,-393859.2568005517,False,False,0,0,0
2019-10-08 05:30:30,84.87945,133.61501,False,False,False,-413926.7009961098,-394383.89691403875,False,False,0,0,0
2019-10-08 06:00:26,84.87646,133.65697,False,False,False,-413879.12502231373,-394917.2265962173,False,False,0,0,0
2019-10-08 06:30:26,84.87339,133.69536,False,False,False,-413862.08209585364,-395431.07803855254,False,False,0,0,0
2019-10-08 07:00:28,84.87023,133.73079,False,False,False,-413872.2466144226,-395930.64451353997,False,False,0,0,0
2019-10-08 07:30:27,84.86695,133.76251,False,False,False,-413917.2893227788,-396412.83455581614,False,False,0,0,0
2019-10-08 08:00:54,84.86359,133.79112,False,False,False,-413989.91055225045,-396878.90200953244,False,False,0,0,0
2019-10-08 08:30:28,84.86031,133.81541,False,False,False,-414085.6863942363,-397307.7400453143,False,False,0,0,0
2019-10-08 09:00:27,84.85699,133.83679,False,False,False,-414204.5919302425,-397718.7848572089,False,False,0,0,0
2019-10-08 09:30:25,84.85371,133.8553,False,False,False,-414339.97198169323,-398106.1269222904,False,False,0,0,0
2019-10-08 10:00:54,84.85036,133.87192,False,False,False,-414493.91956430837,-398485.3379396571,False,False,0,0,0
2019-10-08 10:30:25,84.8471,133.88516,False,False,False,-414663.97356060473,-398833.24882916425,False,False,0,0,0
2019-10-08 11:00:25,84.84377,133.89473,False,False,False,-414865.0846833276,-399160.1017812737,False,False,0,0,0
2019-10-08 11:30:27,84.84046,133.90002,False,False,False,-415094.3305003826,-399454.47880058363,False,False,0,0,0
2019-10-08 12:00:27,84.83719,133.90306,False,False,False,-415336.0073478286,-399729.49643966474,False,False,0,0,0
2019-10-08 12:30:28,84.83411,133.90428,False,False,False,-415575.08819946105,-399976.6392143868,False,False,0,0,0
2019-10-08 13:00:54,84.83118,133.90413,False,False,False,-415811.6699485338,-400202.24396629946,False,False,0,0,0
2019-10-08 13:30:26,84.82849,133.90295,False,False,False,-416036.1576836536,-400401.79962424084,False,False,0,0,0
2019-10-08 14:00:26,84.82595,133.90128,False,False,False,-416252.0209114255,-400586.18124758673,False,False,0,0,0
2019-10-08 14:30:27,84.82361,133.89832,False,False,False,-416460.8392074273,-400745.70142808586,False,False,0,0,0
2019-10-08 15:00:27,84.82145,133.8968,False,False,False,-416645.12751494045,-400901.748247967,False,False,0,0,0
2019-10-08 15:30:26,84.81948,133.89433,False,False,False,-416820.79796413984,-401036.17655395664,False,False,0,0,0
2019-10-08 16:00:54,84.8176,133.89218,False,False,False,-416987.0038215656,-401165.957567994,False,False,0,0,0
2019-10-08 16:30:26,84.81587,133.89104,False,False,False,-417134.0851980409,-401291.4774068551,False,False,0,0,0
